id,nombre,apellido,dni,nacimiento,sexo,equipo,categoria,club,estado,peso,estatura,mano,posicion,sanguineo,telefono,provincia,departamento,localidad,domicilio,obrasocial,carnet
1,Quintilla,Lambregts,35417100,17-07-2001,Femenino,5,Junior,Universidad Nacional de Cuyo,habillitado,90,205,Derecha,Lateral,B+,192-287-9848,Alley,Vilela,Dobříš,73750 Fulton Trail,Medife,428-67-2999
2,Hanni,Schwand,20436431,19-01-1999,Femenino,11,Junior,Godoy Cruz,habillitado,114,179,Derecha,Lateral,B+,573-215-8820,Alley,Ḩammām Damt,Kuala Lumpur,6 Donald Way,Swiss Medical,826-32-9431
3,Jada,Culverhouse,25486067,30-04-1985,Femenino,6,Junior,Municipalidad de Tupungato,habillitado,100,186,Derecha,Lateral,A-,577-630-5723,Park,Ban Talat Bueng,Kibiti,324 Thackeray Road,Swiss Medical,300-55-1326
4,Anissa,Karlik,54052882,11-02-1989,Masculino,1,Cadete,Municipalidad de Lujan,habillitado,65,175,Izquierda,Arquero,O-,754-311-2662,Way,Kalian,Semamung,69356 Lighthouse Bay Street,OSEP,417-95-4130
5,Isabelita,Ramm,31271900,28-05-2001,Femenino,4,Mayor,Godoy Cruz,habillitado,106,207,Izquierda,Lateral,A-,267-591-9033,Park,Usab,Ramana,27 Pleasure Street,Medife,601-83-3746
6,Solly,Chisnell,53831733,02-10-2000,Femenino,1,Junior,Godoy Cruz,habillitado,115,200,Izquierda,Extremo,B+,421-293-9866,Road,Tagbina,Zhangjiafan,166 Corben Road,OSDE,457-77-9683
7,Sigmund,Itzkovici,50845136,09-02-1999,Masculino,10,Menor,Club Mendoza de Regatas,habillitado,56,174,Derecha,Lateral,A+,878-806-3448,Parkway,Ferraria,Kuhmalahti,131 Lyons Place,Medife,828-65-0957
8,Rudolf,Andrichuk,35530912,13-11-2001,Femenino,12,Juvenil,Universidad Nacional de Cuyo,habillitado,108,187,Derecha,Lateral,O-,307-537-4728,Point,Na Kae,Si Satchanalai,5320 Maywood Circle,Sancor Salud,819-57-6244
9,Reilly,Verey,29927808,03-03-1990,Masculino,2,Mayor,Municipalidad de Lujan,habillitado,109,151,Derecha,Pivot,A+,411-476-6836,Way,Geshan,Stepojevac,78 Nova Point,OSDE,382-66-3481
10,Rachele,Konert,21812587,25-10-1980,Masculino,11,Junior,Municipalidad de Maipu,habillitado,79,169,Izquierda,Central,A-,346-174-2935,Avenue,Cannes,Yangmingbu,97435 Spenser Lane,Medife,791-06-5118
11,Aida,Durdy,44295122,03-04-1993,Femenino,11,Cadete,Universidad Nacional de Cuyo,habillitado,130,163,Derecha,Central,A+,100-886-7341,Place,Wangzha,Chavães,39705 Comanche Circle,Medife,879-14-0248
12,Bailie,Tinston,24559200,09-03-1986,Femenino,4,Junior,Municipalidad de Tupungato,habillitado,126,174,Izquierda,Pivot,O-,920-868-3421,Parkway,Ko Chan,Muurame,8 Goodland Drive,OSDE,136-42-4871
13,Waverly,Rawll,31683757,21-08-2008,Femenino,3,Junior,Godoy Cruz,habillitado,84,174,Derecha,Extremo,B+,764-572-8630,Center,Sartana,Radoboj,9 Dunning Crossing,Sancor Salud,597-62-8048
14,Fiona,Heibl,29902190,13-11-1989,Femenino,4,Cadete,Etiec,habillitado,82,202,Derecha,Lateral,O-,192-450-9089,Trail,Qeshm,Zhengji,0089 Northwestern Parkway,OSEP,548-27-3223
15,Jessi,Pullar,34079220,13-01-2003,Femenino,6,Juvenil,Etiec,habillitado,73,148,Derecha,Extremo,A+,453-326-0342,Hill,Kónitsa,Chrzanów,7 Upham Plaza,OSEP,357-66-3335
16,Aimil,Conklin,36986962,22-11-1992,Femenino,11,Junior,Godoy Cruz,habillitado,61,192,Ambas,Pivot,A+,990-767-7441,Way,Chengnan,Kekeri,86 Evergreen Alley,Medife,787-25-4214
17,Margaretha,Slayford,31211673,25-07-2000,Masculino,1,Juvenil,Godoy Cruz,habillitado,121,195,Izquierda,Lateral,O-,557-745-7702,Hill,Tujing,São Torcato,07820 School Junction,OSDE,821-44-2397
18,Mel,Landrean,32908180,07-06-2005,Masculino,9,Juvenil,Godoy Cruz,habillitado,77,142,Derecha,Pivot,O-,593-195-4543,Court,Planken,La Unión,1026 Dwight Pass,OSEP,166-67-1992
19,Lenci,Worden,39672108,04-01-1989,Masculino,8,Junior,Municipalidad de Lujan,habillitado,102,205,Izquierda,Central,A-,511-529-0089,Court,Zahlé,Khafizan,785 Loomis Street,OSEP,698-76-0664
20,Trixie,Brimmicombe,39081827,06-11-2009,Femenino,8,Junior,Municipalidad de Tupungato,habillitado,67,155,Derecha,Extremo,O-,923-804-7296,Crossing,Shuitai,Chengjiang,5199 Gulseth Street,Medife,678-22-6823
21,Lurette,Wallworth,25262945,19-07-1996,Masculino,9,Cadete,Etiec,habillitado,76,202,Derecha,Lateral,O-,344-338-0387,Lane,Buçimas,Sukolilo,59 Meadow Vale Alley,Medife,722-86-0310
22,Faith,Luxmoore,22052696,11-05-2004,Femenino,2,Junior,Municipalidad de Tupungato,habillitado,80,161,Izquierda,Lateral,O-,616-355-1304,Lane,Bebedouro,La Romana,963 Luster Place,Medife,427-99-1841
23,Nataniel,Lumox,25255823,15-10-1991,Masculino,7,Cadete,Etiec,habillitado,66,177,Derecha,Central,O-,177-517-0227,Center,Stockholm,Suzaka,08716 Bluejay Lane,Sancor Salud,380-54-3451
24,Amara,Bollans,31643321,18-03-1987,Masculino,5,Juvenil,Godoy Cruz,habillitado,123,171,Derecha,Arquero,O-,758-445-2067,Parkway,Shuikou,Tierra Blanca,2026 Debra Drive,OSDE,676-39-8977
25,Derry,Lobb,42897399,09-09-1996,Femenino,10,Juvenil,Municipalidad de Tupungato,habillitado,112,202,Ambas,Extremo,A+,696-933-1196,Pass,Alto Barinas,Bertoua,520 Amoth Alley,Sancor Salud,331-31-1731
26,Creighton,Styles,51888059,02-09-1994,Masculino,6,Menor,Municipalidad de Tupungato,no habilitado,107,208,Derecha,Arquero,O-,136-178-8873,Plaza,Pavlovsk,Rokietnica,342 Melrose Lane,OSEP,839-49-3422
27,Bonny,Merioth,54603919,17-09-2007,Femenino,12,Juvenil,Universidad Nacional de Cuyo,habillitado,88,200,Izquierda,Central,B+,364-316-6607,Court,Dzhetygara,Manutapen,8 Chive Terrace,OSDE,659-15-8197
28,Sheffield,Voce,50737256,18-10-1994,Femenino,1,Mayor,Municipalidad de Lujan,habillitado,90,148,Derecha,Lateral,B+,461-151-3249,Drive,Iksha,Chimbote,26 Cody Court,OSEP,717-25-8797
29,Brunhilda,Bottjer,26578064,22-01-2005,Femenino,5,Juvenil,Etiec,habillitado,121,151,Izquierda,Central,O-,225-319-3882,Avenue,Várzea Alegre,Agen,10 Carey Circle,Sancor Salud,331-37-5917
30,Kailey,Heater,29758641,05-02-2004,Masculino,2,Cadete,Municipalidad de Maipu,no habilitado,51,187,Izquierda,Lateral,A-,715-325-8262,Street,Dolati,Srebrenica,686 Ludington Alley,Swiss Medical,617-69-8813
31,Leonard,Nutkins,37619675,30-04-1981,Masculino,1,Menor,Club Mendoza de Regatas,no habilitado,110,196,Derecha,Central,O-,498-314-3436,Point,Sintra,Xia Dawo,9737 Jay Drive,OSDE,306-71-4268
32,Gizela,Bailes,28980639,13-08-1998,Masculino,4,Cadete,Municipalidad de Lujan,habillitado,79,174,Derecha,Pivot,A-,875-540-7617,Hill,Longxi,Akhaltsikhe,722 Northwestern Crossing,OSDE,539-27-1914
33,Harlen,Wickins,38059915,04-03-2009,Masculino,10,Cadete,Universidad Nacional de Cuyo,habillitado,68,200,Derecha,Lateral,A-,981-719-7565,Terrace,Ningtang,Berovo,38 Texas Street,OSEP,868-15-9139
34,Brant,Bruyntjes,44928131,13-11-2004,Femenino,1,Cadete,Municipalidad de Lujan,no habilitado,122,162,Izquierda,Central,A-,490-995-0710,Hill,Srostki,Banyue,4 American Drive,OSDE,438-11-9606
